DC_POWER,AC_POWER,DAILY_YIELD,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,HORAS,MINUTOS
0.0,0.0,0.0,25.184316133333333,22.8575074,0.0,0,0
0.0,0.0,0.0,25.184316133333333,22.8575074,0.0,0,0
0.0,0.0,0.0,25.184316133333333,22.8575074,0.0,0,0
0.0,0.0,0.0,25.184316133333333,22.8575074,0.0,0,0
0.0,0.0,0.0,25.184316133333333,22.8575074,0.0,0,0
0.0,0.0,0.0,25.184316133333333,22.8575074,0.0,0,0
0.0,0.0,0.0,25.184316133333333,22.8575074,0.0,0,0
0.0,0.0,0.0,25.184316133333333,22.8575074,0.0,0,0
0.0,0.0,0.0,25.184316133333333,22.8575074,0.0,0,0
0.0,0.0,0.0,25.184316133333333,22.8575074,0.0,0,0
0.0,0.0,0.0,25.184316133333333,22.8575074,0.0,0,0
0.0,0.0,0.0,25.184316133333333,22.8575074,0.0,0,0
0.0,0.0,0.0,25.184316133333333,22.8575074,0.0,0,0
0.0,0.0,0.0,25.184316133333333,22.8575074,0.0,0,0
0.0,0.0,0.0,25.184316133333333,22.8575074,0.0,0,0
0.0,0.0,0.0,25.184316133333333,22.8575074,0.0,0,0
0.0,0.0,0.0,25.184316133333333,22.8575074,0.0,0,0
0.0,0.0,0.0,25.184316133333333,22.8575074,0.0,0,0
0.0,0.0,0.0,25.184316133333333,22.8575074,0.0,0,0
0.0,0.0,0.0,25.184316133333333,22.8575074,0.0,0,0
0.0,0.0,0.0,25.184316133333333,22.8575074,0.0,0,0
0.0,0.0,0.0,25.08458866666667,22.761667866666663,0.0,0,15
0.0,0.0,0.0,25.08458866666667,22.761667866666663,0.0,0,15
0.0,0.0,0.0,25.08458866666667,22.761667866666663,0.0,0,15
0.0,0.0,0.0,25.08458866666667,22.761667866666663,0.0,0,15
0.0,0.0,0.0,25.08458866666667,22.761667866666663,0.0,0,15
0.0,0.0,0.0,25.08458866666667,22.761667866666663,0.0,0,15
0.0,0.0,0.0,25.08458866666667,22.761667866666663,0.0,0,15
0.0,0.0,0.0,25.08458866666667,22.761667866666663,0.0,0,15
0.0,0.0,0.0,25.08458866666667,22.761667866666663,0.0,0,15
0.0,0.0,0.0,25.08458866666667,22.761667866666663,0.0,0,15
0.0,0.0,0.0,25.08458866666667,22.761667866666663,0.0,0,15
0.0,0.0,0.0,25.08458866666667,22.761667866666663,0.0,0,15
0.0,0.0,0.0,25.08458866666667,22.761667866666663,0.0,0,15
0.0,0.0,0.0,25.08458866666667,22.761667866666663,0.0,0,15
0.0,0.0,0.0,25.08458866666667,22.761667866666663,0.0,0,15
0.0,0.0,0.0,25.08458866666667,22.761667866666663,0.0,0,15
0.0,0.0,0.0,25.08458866666667,22.761667866666663,0.0,0,15
0.0,0.0,0.0,25.08458866666667,22.761667866666663,0.0,0,15
0.0,0.0,0.0,25.08458866666667,22.761667866666663,0.0,0,15
0.0,0.0,0.0,25.08458866666667,22.761667866666663,0.0,0,15
0.0,0.0,0.0,25.08458866666667,22.761667866666663,0.0,0,15
0.0,0.0,0.0,24.935752600000004,22.59230553333333,0.0,0,30
0.0,0.0,0.0,24.935752600000004,22.59230553333333,0.0,0,30
0.0,0.0,0.0,24.935752600000004,22.59230553333333,0.0,0,30
0.0,0.0,0.0,24.935752600000004,22.59230553333333,0.0,0,30
0.0,0.0,0.0,24.935752600000004,22.59230553333333,0.0,0,30
0.0,0.0,0.0,24.935752600000004,22.59230553333333,0.0,0,30
0.0,0.0,0.0,24.935752600000004,22.59230553333333,0.0,0,30
0.0,0.0,0.0,24.935752600000004,22.59230553333333,0.0,0,30
0.0,0.0,0.0,24.935752600000004,22.59230553333333,0.0,0,30
0.0,0.0,0.0,24.935752600000004,22.59230553333333,0.0,0,30
0.0,0.0,0.0,24.935752600000004,22.59230553333333,0.0,0,30
0.0,0.0,0.0,24.935752600000004,22.59230553333333,0.0,0,30
0.0,0.0,0.0,24.935752600000004,22.59230553333333,0.0,0,30
0.0,0.0,0.0,24.935752600000004,22.59230553333333,0.0,0,30
0.0,0.0,0.0,24.935752600000004,22.59230553333333,0.0,0,30
0.0,0.0,0.0,24.935752600000004,22.59230553333333,0.0,0,30
0.0,0.0,0.0,24.935752600000004,22.59230553333333,0.0,0,30
0.0,0.0,0.0,24.935752600000004,22.59230553333333,0.0,0,30
0.0,0.0,0.0,24.935752600000004,22.59230553333333,0.0,0,30
0.0,0.0,0.0,24.935752600000004,22.59230553333333,0.0,0,30
0.0,0.0,0.0,24.935752600000004,22.59230553333333,0.0,0,30
0.0,0.0,0.0,24.8461304,22.36085213333333,0.0,0,45
0.0,0.0,0.0,24.8461304,22.36085213333333,0.0,0,45
0.0,0.0,0.0,24.8461304,22.36085213333333,0.0,0,45
0.0,0.0,0.0,24.8461304,22.36085213333333,0.0,0,45
0.0,0.0,0.0,24.8461304,22.36085213333333,0.0,0,45
0.0,0.0,0.0,24.8461304,22.36085213333333,0.0,0,45
0.0,0.0,0.0,24.8461304,22.36085213333333,0.0,0,45
0.0,0.0,0.0,24.8461304,22.36085213333333,0.0,0,45
0.0,0.0,0.0,24.8461304,22.36085213333333,0.0,0,45
0.0,0.0,0.0,24.8461304,22.36085213333333,0.0,0,45
0.0,0.0,0.0,24.8461304,22.36085213333333,0.0,0,45
0.0,0.0,0.0,24.8461304,22.36085213333333,0.0,0,45
0.0,0.0,0.0,24.8461304,22.36085213333333,0.0,0,45
0.0,0.0,0.0,24.8461304,22.36085213333333,0.0,0,45
